keyword_id,keyword_text,campaign_id,campaign_name,match_type,date,current_bid,impressions,clicks,conversions,spend,revenue,campaign_daily_budget
K304,electric kettle,C005,Kids & Toys,broad,2025-02-01,4.33,1075,22,1,52.14,49.07,150.0
K305,tablet stand,C002,Phone Accessories,exact,2025-02-01,2.75,1277,32,1,75.52,40.95,250.0
K307,car phone mount,C001,Headphones & Audio,phrase,2025-02-01,1.27,916,11,1,11.99,8.67,300.0
K308,reusable water bottle,C006,Office Supplies,broad,2025-02-01,1.94,729,4,0,4.24,0.0,180.0
K309,massage gun,C007,Beauty & Personal Care,phrase,2025-02-01,3.51,660,15,1,40.8,8.7,350.0
K310,smart plug wifi,C006,Office Supplies,phrase,2025-02-01,4.56,417,10,0,20.4,0.0,180.0
K311,hiking boots men,C002,Phone Accessories,phrase,2025-02-01,3.07,201,3,0,5.73,0.0,250.0
K312,face wash cleanser,C002,Phone Accessories,exact,2025-02-01,1.4,869,17,0,11.56,0.0,250.0
K313,baby monitor camera,C009,Electronics Deals,broad,2025-02-01,4.73,1326,10,1,21.6,38.28,500.0
K314,electric shaver,C001,Headphones & Audio,phrase,2025-02-01,2.56,1064,17,2,23.8,134.64,300.0
K315,wall art canvas,C004,Fitness & Outdoors,phrase,2025-02-01,4.44,256,5,0,10.7,0.0,200.0
K316,portable fan mini,C006,Office Supplies,phrase,2025-02-01,2.74,301,3,0,3.81,0.0,180.0
K317,jump rope fitness,C004,Fitness & Outdoors,broad,2025-02-01,3.88,1664,26,1,82.16,33.21,200.0
K318,door mat outdoor,C010,Garden & Tools,phrase,2025-02-01,2.66,831,14,0,23.1,0.0,80.0
K319,shower head rain,C006,Office Supplies,phrase,2025-02-01,3.1,1413,18,0,45.54,0.0,180.0
K320,night light kids,C007,Beauty & Personal Care,exact,2025-02-01,4.35,767,9,1,25.65,53.88,350.0
K321,lunch box adult,C009,Electronics Deals,exact,2025-02-01,1.92,631,9,0,8.64,0.0,500.0
K322,bike lock,C006,Office Supplies,broad,2025-02-01,4.21,1223,19,1,51.49,36.2,180.0
K323,hand cream moisturizer,C003,Home & Kitchen,exact,2025-02-01,2.92,635,14,1,24.08,44.18,400.0
K324,whiteboard magnetic,C007,Beauty & Personal Care,phrase,2025-02-01,5.83,1377,15,0,74.25,0.0,350.0
K325,surge protector,C002,Phone Accessories,broad,2025-02-01,4.45,301,7,0,14.98,0.0,250.0
K326,pillow memory foam,C003,Home & Kitchen,phrase,2025-02-01,2.5,911,11,0,11.66,0.0,400.0
K327,tea kettle stovetop,C009,Electronics Deals,broad,2025-02-01,1.61,1413,21,1,14.7,16.17,500.0
K328,food storage containers,C003,Home & Kitchen,phrase,2025-02-01,2.3,269,1,0,1.79,0.0,400.0
K329,yoga block,C009,Electronics Deals,broad,2025-02-01,5.58,198,4,0,18.2,0.0,500.0
K330,packing cubes travel,C004,Fitness & Outdoors,broad,2025-02-01,4.9,1788,29,1,78.01,55.57,200.0
K331,desk pad leather,C001,Headphones & Audio,phrase,2025-02-01,5.05,493,10,1,33.3,27.08,300.0
K332,garlic press,C008,Pet Supplies,broad,2025-02-01,0.58,1340,40,5,10.4,266.04,120.0
K333,resistance loop bands,C001,Headphones & Audio,broad,2025-02-01,4.64,1220,22,1,90.86,62.08,300.0
K334,solar garden lights,C004,Fitness & Outdoors,phrase,2025-02-01,2.05,479,3,0,4.29,0.0,200.0
K335,hand sanitizer bulk,C010,Garden & Tools,exact,2025-02-01,2.08,168,6,0,10.14,0.0,80.0
K336,rain jacket women,C008,Pet Supplies,exact,2025-02-01,4.42,678,8,1,22.08,11.43,120.0
K337,measuring cups set,C004,Fitness & Outdoors,exact,2025-02-01,4.53,310,5,0,10.45,0.0,200.0
K338,camping lantern,C008,Pet Supplies,phrase,2025-02-01,1.78,632,17,1,23.12,18.58,120.0
K339,electric blanket,C009,Electronics Deals,exact,2025-02-01,2.54,580,2,0,4.26,0.0,500.0
K340,label maker,C009,Electronics Deals,broad,2025-02-01,1.58,84,5,0,5.5,0.0,500.0
K341,insulated lunch bag,C003,Home & Kitchen,exact,2025-02-01,1.82,704,9,1,7.29,24.68,400.0
K342,bath towel set,C010,Garden & Tools,exact,2025-02-01,1.93,385,2,1,3.0,14.3,80.0
K343,wall clock modern,C008,Pet Supplies,exact,2025-02-01,1.84,724,8,1,6.0,35.8,120.0
K344,pepper grinder,C004,Fitness & Outdoors,phrase,2025-02-01,2.22,1612,18,1,29.16,25.54,200.0
K345,laptop sleeve 15,C008,Pet Supplies,exact,2025-02-01,1.88,827,17,3,29.24,93.84,120.0
K346,plant pot indoor,C002,Phone Accessories,exact,2025-02-01,5.49,641,19,0,71.63,0.0,250.0
K347,first aid kit,C004,Fitness & Outdoors,broad,2025-02-01,1.69,127,0,0,0.0,0.0,200.0
K348,exercise ball,C009,Electronics Deals,broad,2025-02-01,6.24,193,7,1,33.6,51.37,500.0
K349,curtain rod,C008,Pet Supplies,broad,2025-02-01,6.18,209,4,1,12.88,57.76,120.0
K350,baking sheet set,C003,Home & Kitchen,phrase,2025-02-01,1.96,1051,24,0,19.44,0.0,400.0
K351,car vacuum cleaner,C005,Kids & Toys,broad,2025-02-01,5.58,437,9,2,28.89,118.54,150.0
K352,spice rack organizer,C002,Phone Accessories,broad,2025-02-01,4.18,528,1,0,3.97,0.0,250.0
K353,tension rod curtain,C002,Phone Accessories,exact,2025-02-01,4.68,391,11,1,35.09,61.94,250.0
K354,foam roller,C008,Pet Supplies,phrase,2025-02-01,4.17,1297,13,0,23.66,0.0,120.0
K355,bird feeder,C006,Office Supplies,broad,2025-02-01,4.66,1152,18,0,46.62,0.0,180.0
K356,extension cord outdoor,C006,Office Supplies,broad,2025-02-01,4.69,98,2,0,5.4,0.0,180.0
K357,toothbrush holder,C001,Headphones & Audio,exact,2025-02-01,5.46,129,0,0,0.0,0.0,300.0
K358,wine opener,C005,Kids & Toys,exact,2025-02-01,0.76,568,10,1,6.6,65.98,150.0
K359,laundry basket,C002,Phone Accessories,broad,2025-02-01,2.96,1313,19,1,28.88,17.48,250.0
K360,cutting board bamboo,C007,Beauty & Personal Care,broad,2025-02-01,2.68,183,4,1,8.84,45.32,350.0
K361,notebook journal,C004,Fitness & Outdoors,phrase,2025-02-01,1.23,1306,9,0,8.73,0.0,200.0
K362,hair clips women,C001,Headphones & Audio,broad,2025-02-01,5.76,1295,9,0,39.51,0.0,300.0
K363,phone tripod,C003,Home & Kitchen,broad,2025-02-01,5.03,958,10,2,40.2,54.07,400.0
K364,drawer organizer,C008,Pet Supplies,phrase,2025-02-01,3.55,812,6,0,16.08,0.0,120.0
K365,water filter pitcher,C004,Fitness & Outdoors,phrase,2025-02-01,1.1,1437,11,2,4.95,27.72,200.0
K366,dog leash retractable,C005,Kids & Toys,phrase,2025-02-01,1.85,299,6,0,7.44,0.0,150.0
K367,bath bomb set,C008,Pet Supplies,phrase,2025-02-01,5.96,919,8,0,27.76,0.0,120.0
K368,cast iron skillet,C003,Home & Kitchen,exact,2025-02-01,4.0,1052,18,1,40.68,14.27,400.0
K369,bookshelf small,C008,Pet Supplies,phrase,2025-02-01,3.2,1178,24,0,58.8,0.0,120.0
K370,flashlight tactical,C002,Phone Accessories,exact,2025-02-01,0.56,566,5,0,2.2,0.0,250.0
K371,ice cube tray,C006,Office Supplies,broad,2025-02-01,2.96,314,4,0,8.96,0.0,180.0
K372,picture frame set,C004,Fitness & Outdoors,phrase,2025-02-01,1.19,917,13,0,11.05,0.0,200.0
K373,cable management,C002,Phone Accessories,broad,2025-02-01,5.27,912,7,0,24.01,0.0,250.0
K374,shoe rack,C006,Office Supplies,exact,2025-02-01,2.32,791,19,0,41.61,0.0,180.0
K375,kitchen timer digital,C009,Electronics Deals,phrase,2025-02-01,1.84,220,3,0,3.57,0.0,500.0
K376,makeup organizer,C002,Phone Accessories,phrase,2025-02-01,1.8,976,17,0,17.68,0.0,250.0
K377,pet bed small,C009,Electronics Deals,exact,2025-02-01,4.77,666,12,0,40.32,0.0,500.0
K378,wall hooks adhesive,C005,Kids & Toys,broad,2025-02-01,2.2,1011,20,0,18.0,0.0,150.0
K379,hand towel set,C009,Electronics Deals,phrase,2025-02-01,1.88,446,7,0,11.2,0.0,500.0
K380,egg cooker electric,C003,Home & Kitchen,exact,2025-02-01,2.39,878,20,1,25.4,14.76,400.0
K381,puzzle 1000 piece,C002,Phone Accessories,phrase,2025-02-01,3.76,1175,23,2,50.83,83.27,250.0
K382,yoga strap,C004,Fitness & Outdoors,broad,2025-02-01,2.65,586,6,1,14.28,14.67,200.0
K383,tool set home,C007,Beauty & Personal Care,phrase,2025-02-01,1.01,905,30,1,28.2,46.49,350.0
K384,soap dispenser,C006,Office Supplies,exact,2025-02-01,0.65,607,6,0,2.94,0.0,180.0
K385,coaster set,C004,Fitness & Outdoors,broad,2025-02-01,5.57,783,13,0,34.58,0.0,200.0
K386,mouse pad large,C003,Home & Kitchen,exact,2025-02-01,5.16,1331,6,0,25.56,0.0,400.0
K387,storage bins fabric,C003,Home & Kitchen,exact,2025-02-01,3.59,1056,17,2,42.84,78.06,400.0
K388,can opener electric,C010,Garden & Tools,exact,2025-02-01,4.79,1480,15,3,67.05,118.8,80.0
K389,bath mat non slip,C003,Home & Kitchen,phrase,2025-02-01,0.99,655,7,1,4.97,41.21,400.0
K390,key finder bluetooth,C007,Beauty & Personal Care,phrase,2025-02-01,4.75,1463,16,1,42.72,50.94,350.0
K391,chip clips,C002,Phone Accessories,broad,2025-02-01,1.64,974,13,1,11.44,22.8,250.0
K392,salad spinner,C008,Pet Supplies,phrase,2025-02-01,2.66,867,10,1,25.2,29.51,120.0
K393,desk fan quiet,C003,Home & Kitchen,exact,2025-02-01,2.75,1530,31,2,70.99,94.38,400.0
K394,luggage tag,C009,Electronics Deals,phrase,2025-02-01,2.28,508,0,0,0.0,0.0,500.0
K395,lint roller,C010,Garden & Tools,broad,2025-02-01,1.18,1215,28,0,19.88,0.0,80.0
K396,tape measure,C008,Pet Supplies,phrase,2025-02-01,5.61,92,0,0,0.0,0.0,120.0
K397,ice pack lunch,C004,Fitness & Outdoors,broad,2025-02-01,4.63,82,2,0,8.02,0.0,200.0
K398,door stopper,C002,Phone Accessories,exact,2025-02-01,5.33,1685,52,5,193.44,242.38,250.0
K399,broom dustpan set,C009,Electronics Deals,exact,2025-02-01,0.63,609,13,2,3.64,76.52,500.0
K400,magnifying glass,C003,Home & Kitchen,phrase,2025-02-01,2.55,270,8,0,14.72,0.0,400.0
K401,fly swatter,C005,Kids & Toys,broad,2025-02-01,4.56,1018,6,0,12.36,0.0,150.0
K402,jar opener,C004,Fitness & Outdoors,phrase,2025-02-01,2.2,551,4,1,4.48,37.5,200.0
K403,oven mitts,C002,Phone Accessories,phrase,2025-02-01,3.45,988,12,1,30.84,24.26,250.0
K404,pot holder,C008,Pet Supplies,phrase,2025-02-01,2.27,1560,30,3,30.9,177.28,120.0
K405,dish rack,C003,Home & Kitchen,broad,2025-02-01,2.68,1086,29,1,46.98,13.97,400.0
K406,sponge holder,C001,Headphones & Audio,exact,2025-02-01,2.77,157,6,1,8.58,31.9,300.0
K407,towel rack,C001,Headphones & Audio,broad,2025-02-01,0.52,1481,43,3,10.32,128.21,300.0
K408,trash bags tall,C008,Pet Supplies,exact,2025-02-01,0.77,109,3,0,1.89,0.0,120.0
K409,aluminum foil,C007,Beauty & Personal Care,exact,2025-02-01,5.21,337,10,0,30.6,0.0,350.0
K410,parchment paper,C007,Beauty & Personal Care,broad,2025-02-01,1.87,551,6,0,6.78,0.0,350.0
K411,zip ties,C010,Garden & Tools,phrase,2025-02-01,3.41,967,6,0,17.4,0.0,80.0
K412,command strips,C003,Home & Kitchen,phrase,2025-02-01,2.78,1244,33,4,56.1,120.12,400.0
K413,velcro strips,C009,Electronics Deals,exact,2025-02-01,2.59,940,35,0,45.15,0.0,500.0
K414,rubber bands,C009,Electronics Deals,phrase,2025-02-01,4.23,718,2,0,7.78,0.0,500.0
K415,binder clips,C001,Headphones & Audio,phrase,2025-02-01,1.53,458,11,0,13.97,0.0,300.0
K416,sticky notes,C008,Pet Supplies,phrase,2025-02-01,1.43,1119,16,0,12.8,0.0,120.0
K417,highlighter set,C009,Electronics Deals,exact,2025-02-01,1.35,762,17,1,12.07,51.56,500.0
K418,mechanical pencil,C002,Phone Accessories,phrase,2025-02-01,1.28,1133,15,0,15.15,0.0,250.0
K419,index cards,C003,Home & Kitchen,broad,2025-02-01,1.0,553,9,0,8.01,0.0,400.0
K420,envelope pack,C003,Home & Kitchen,broad,2025-02-01,1.16,369,5,0,3.25,0.0,400.0
K421,stamp pad ink,C002,Phone Accessories,exact,2025-02-01,2.87,1018,14,1,25.9,25.01,250.0
K422,paper clips,C001,Headphones & Audio,phrase,2025-02-01,4.04,1181,26,1,45.5,57.0,300.0
K423,folder organizer,C007,Beauty & Personal Care,broad,2025-02-01,1.69,976,9,1,9.18,18.27,350.0
K424,scissors heavy duty,C004,Fitness & Outdoors,broad,2025-02-01,2.76,985,7,0,13.16,0.0,200.0
K425,glue stick,C001,Headphones & Audio,phrase,2025-02-01,2.45,1275,42,2,49.56,63.82,300.0
K426,tape dispenser,C004,Fitness & Outdoors,phrase,2025-02-01,5.11,1234,19,0,56.05,0.0,200.0
K427,stapler,C009,Electronics Deals,exact,2025-02-01,5.74,1331,34,3,182.24,185.37,500.0
K428,pencil sharpener,C005,Kids & Toys,phrase,2025-02-01,1.68,1547,25,2,23.25,124.56,150.0
K429,ruler set,C001,Headphones & Audio,broad,2025-02-01,0.89,167,2,0,0.8,0.0,300.0
K430,eraser pack,C001,Headphones & Audio,exact,2025-02-01,3.93,1018,23,0,58.19,0.0,300.0
K431,marker set,C003,Home & Kitchen,exact,2025-02-01,0.9,1676,35,1,28.7,52.5,400.0
K432,travel backpack,C009,Electronics Deals,phrase,2025-02-01,4.93,131,3,1,9.24,27.25,500.0
K433,wireless charger pad,C008,Pet Supplies,broad,2025-02-01,3.31,829,14,0,31.78,0.0,120.0
K434,led desk lamp,C008,Pet Supplies,phrase,2025-02-01,1.99,630,6,1,10.62,33.3,120.0
K435,protein powder,C007,Beauty & Personal Care,exact,2025-02-01,1.59,774,11,2,10.01,91.41,350.0
K436,electric kettle,C002,Phone Accessories,exact,2025-02-01,0.88,730,10,1,7.5,25.13,250.0
K437,tablet stand,C008,Pet Supplies,broad,2025-02-01,3.4,301,5,0,8.5,0.0,120.0
K438,noise machine sleep,C005,Kids & Toys,phrase,2025-02-01,3.19,617,13,1,35.23,9.86,150.0
K439,car phone mount,C003,Home & Kitchen,phrase,2025-02-01,5.96,1111,17,2,69.02,106.26,400.0
K440,reusable water bottle,C006,Office Supplies,exact,2025-02-01,2.13,551,15,1,19.8,45.37,180.0
K441,massage gun,C001,Headphones & Audio,broad,2025-02-01,1.6,548,9,0,11.43,0.0,300.0
K442,smart plug wifi,C003,Home & Kitchen,exact,2025-02-01,1.92,1000,9,2,14.49,61.54,400.0
K443,hiking boots men,C008,Pet Supplies,broad,2025-02-01,3.2,567,6,0,11.52,0.0,120.0
K444,face wash cleanser,C010,Garden & Tools,phrase,2025-02-01,3.73,1133,11,3,31.57,121.54,80.0
K445,baby monitor camera,C005,Kids & Toys,exact,2025-02-01,0.6,1678,19,0,9.12,0.0,150.0
K446,electric shaver,C007,Beauty & Personal Care,exact,2025-02-01,2.79,85,0,0,0.0,0.0,350.0
K447,wall art canvas,C009,Electronics Deals,phrase,2025-02-01,0.86,377,3,0,1.47,0.0,500.0
K448,portable fan mini,C010,Garden & Tools,phrase,2025-02-01,3.85,494,1,0,1.85,0.0,80.0
K449,jump rope fitness,C005,Kids & Toys,broad,2025-02-01,2.87,86,1,0,1.29,0.0,150.0
K001,wireless headphones,C001,Headphones & Audio,exact,2025-02-02,3.42,228,1,0,2.14,0.0,300.0
K002,bluetooth earbuds,C001,Headphones & Audio,phrase,2025-02-02,2.63,892,8,0,13.04,0.0,300.0
K003,noise cancelling,C001,Headphones & Audio,broad,2025-02-02,4.49,2071,22,0,77.44,0.0,300.0
K004,over ear headphones,C001,Headphones & Audio,exact,2025-02-02,3.26,1412,20,0,54.8,0.0,300.0
K005,phone case iphone,C002,Phone Accessories,exact,2025-02-02,1.46,1815,28,2,28.84,22.55,250.0
K006,screen protector,C002,Phone Accessories,phrase,2025-02-02,1.1,1781,42,2,35.28,13.94,250.0
K007,phone charger fast,C002,Phone Accessories,exact,2025-02-02,2.11,1690,20,0,31.6,0.0,250.0
K008,usb c cable,C002,Phone Accessories,broad,2025-02-02,1.09,1093,14,0,14.14,0.0,250.0
K009,air fryer,C003,Home & Kitchen,exact,2025-02-02,4.54,1329,11,1,31.57,38.82,400.0
K010,instant pot,C003,Home & Kitchen,phrase,2025-02-02,4.3,273,1,0,2.2,0.0,400.0
K011,kitchen knife set,C003,Home & Kitchen,exact,2025-02-02,3.33,1543,13,1,40.43,29.14,400.0
K012,blender smoothie,C003,Home & Kitchen,broad,2025-02-02,3.88,1234,11,1,32.67,26.98,400.0
K013,coffee maker,C003,Home & Kitchen,phrase,2025-02-02,3.46,138,1,0,3.19,0.0,400.0
K014,yoga mat,C004,Fitness & Outdoors,exact,2025-02-02,2.32,540,9,0,10.89,0.0,200.0
K015,resistance bands,C004,Fitness & Outdoors,phrase,2025-02-02,1.8,1994,42,4,45.36,64.38,200.0
K016,running shoes men,C004,Fitness & Outdoors,broad,2025-02-02,3.85,1659,7,0,22.47,0.0,200.0
K017,water bottle insulated,C004,Fitness & Outdoors,exact,2025-02-02,1.6,190,1,0,1.36,0.0,200.0
K018,kids puzzle,C005,Kids & Toys,exact,2025-02-02,0.95,834,15,0,12.45,0.0,150.0
K019,lego set,C005,Kids & Toys,phrase,2025-02-02,2.68,781,12,0,17.4,0.0,150.0
K020,toy dinosaur,C005,Kids & Toys,broad,2025-02-02,0.88,1345,30,4,21.9,31.14,150.0
K021,coloring book kids,C005,Kids & Toys,exact,2025-02-02,0.68,905,22,1,10.78,7.03,150.0
K022,desk organizer,C006,Office Supplies,exact,2025-02-02,1.76,576,10,1,13.3,14.07,180.0
K023,standing desk converter,C006,Office Supplies,phrase,2025-02-02,5.17,1019,6,1,16.8,59.35,180.0
K024,office chair ergonomic,C006,Office Supplies,exact,2025-02-02,6.36,1803,8,0,40.32,0.0,180.0
K025,moisturizer face,C007,Beauty & Personal Care,exact,2025-02-02,2.19,1499,19,1,23.37,18.25,350.0
K026,sunscreen spf 50,C007,Beauty & Personal Care,phrase,2025-02-02,2.19,765,9,0,13.14,0.0,350.0
K027,hair dryer,C007,Beauty & Personal Care,broad,2025-02-02,3.04,514,5,1,8.35,26.06,350.0
K028,makeup brush set,C007,Beauty & Personal Care,exact,2025-02-02,1.56,404,5,1,5.95,11.04,350.0
K029,vitamin c serum,C007,Beauty & Personal Care,phrase,2025-02-02,2.55,1175,15,1,19.35,21.21,350.0
K030,dog food grain free,C008,Pet Supplies,exact,2025-02-02,2.28,772,8,0,15.92,0.0,120.0
K031,cat litter,C008,Pet Supplies,phrase,2025-02-02,1.49,563,5,3,4.75,48.6,120.0
K032,dog bed large,C008,Pet Supplies,broad,2025-02-02,2.6,514,6,0,14.22,0.0,120.0
K033,laptop stand,C009,Electronics Deals,exact,2025-02-02,2.93,711,6,0,10.44,0.0,500.0
K034,mechanical keyboard,C009,Electronics Deals,phrase,2025-02-02,3.72,1495,11,1,38.61,37.65,500.0
K035,monitor 27 inch,C009,Electronics Deals,exact,2025-02-02,6.06,1342,7,0,22.05,0.0,500.0
K036,wireless mouse,C009,Electronics Deals,broad,2025-02-02,1.89,1114,22,1,29.04,12.43,500.0
K037,usb hub,C009,Electronics Deals,phrase,2025-02-02,1.91,1182,17,0,19.04,0.0,500.0
K038,hdmi cable,C009,Electronics Deals,exact,2025-02-02,0.96,909,22,1,12.32,8.97,500.0
K039,garden hose,C010,Garden & Tools,exact,2025-02-02,1.53,238,6,0,6.72,0.0,80.0
K040,lawn mower,C010,Garden & Tools,phrase,2025-02-02,4.6,1352,10,0,27.3,0.0,80.0
K180,bluetooth speaker portable,C001,Headphones & Audio,phrase,2025-02-02,3.13,67,1,0,2.55,0.0,300.0
K181,yoga pants women,C004,Fitness & Outdoors,exact,2025-02-02,2.27,59,1,0,1.16,0.0,200.0
K182,dog treats natural,C008,Pet Supplies,exact,2025-02-02,1.17,134,1,0,0.63,0.0,120.0
K201,portable speaker waterproof,C001,Headphones & Audio,broad,2025-02-02,2.0,704,12,0,16.54,0.0,300.0
K202,smart watch fitness,C009,Electronics Deals,broad,2025-02-02,4.5,1928,20,0,61.0,0.0,500.0
K205,premium leather wallet,C002,Phone Accessories,exact,2025-02-02,1.5,48,3,0,3.82,0.0,250.0
K206,gaming headset rgb,C009,Electronics Deals,phrase,2025-02-02,3.8,1654,16,0,48.55,0.0,500.0
K207,power drill cordless,C010,Garden & Tools,exact,2025-02-02,4.0,3494,32,2,71.36,98.5,80.0
K300,travel backpack,C009,Electronics Deals,exact,2025-02-02,0.84,1596,16,1,7.52,9.06,500.0
K301,wireless charger pad,C004,Fitness & Outdoors,broad,2025-02-02,5.26,1308,16,0,73.6,0.0,200.0
K302,led desk lamp,C006,Office Supplies,exact,2025-02-02,4.35,1072,23,0,59.34,0.0,180.0
K303,protein powder,C004,Fitness & Outdoors,exact,2025-02-02,1.07,987,9,0,4.77,0.0,200.0
K304,electric kettle,C005,Kids & Toys,broad,2025-02-02,4.7,209,3,0,5.64,0.0,150.0
K305,tablet stand,C002,Phone Accessories,exact,2025-02-02,2.73,213,5,0,12.35,0.0,250.0
K306,noise machine sleep,C002,Phone Accessories,phrase,2025-02-02,4.07,1409,36,1,89.28,31.88,250.0
K307,car phone mount,C001,Headphones & Audio,phrase,2025-02-02,1.27,868,14,2,12.6,17.09,300.0
K308,reusable water bottle,C006,Office Supplies,broad,2025-02-02,2.27,521,1,0,1.05,0.0,180.0
K309,massage gun,C007,Beauty & Personal Care,phrase,2025-02-02,3.82,228,3,0,5.97,0.0,350.0
